,Model,RMSE,R2,Method
0,Ridge Regression,0.702238096525794,0.15176919508950382,2
1,Decision Tree,0.5964378999176464,0.3929902502213397,2
2,Random Forest,0.5835819221244287,0.41887593261548495,2
3,Gradient Boosted Tree Regression,0.5656944214638759,0.4539542967659205,2
